response,empathy_score
Do you feel like this was caused by a specific situation?,no
How long has this unpleasant situation been bothering you?,no
Do you consider yourself to be someone else's savior?,no
Have you ever strongly felt any of the following emotions towards someone else? ,no
"When you feel bad, do you see someone else as responsible for it?",no
Have you ever had these negative feelings towards someone?,no
There is no problem with feeling that way. Let me ask some questions in order to better understand your situation,strong
Do you find yourself always shifting the blame towards yourself for every bad thing that happens to you?,weak
Have you felt this type of way about any person before? ,no
Do you feel like you need to control others to be in control of yourself? ,no
Have you felt any of the following emotions towards someone?,no
"If you remember, in previous conversation have you considered other viewpoints?",no
Do you feel that it is part of you to be someone's guardian angel and that you need to protect them?,weak
I am wondering whether you tried protocol 6 and found some very negative emotions as a result of it? ,weak
Do you believe you are the victim and do you blame someone else for your negative feelings?,no
Do you think this situation was caused by some recent or past event?,no
"In previous conversations, do you try to see other perspectives? ",no
In conversations do you allow the other part to effectively voice their opinions without interjection so you can understand where they're coming from?,weak
"Do you picture yourself as a victim, blaming others for reasoning behind your negative emotions?",weak
Have you expressed any of this emotions?,no
Do you think you are going throw some personal crisis?,no
Are you currently going through a difficult time with a close person?,no
There are always different viewpoints in every situation. Have you considered different viewpoints in previous conversations?,no
Do you seem to think that you undergoing a personal crisis?,no
Do you think this was caused by a recent or distant event?,no
It's understandable not to take other people's opinions. But do you try to consider their points of view?,strong
Have you been feeling any kind of overwhelming emotions in your personal life triggered by your family or friends for example?,weak
Have you tried to attempt protocol 6? If so did you find that this brought up unwanted feelings and/or memories from the past?,weak
Have you previously taken time to listen to other points of view?,no
Do you see yourself as a victim and blame someone else for your negative feelings?,no
Do you think that you blame other people for the way you feel?,no
"Thank you very much for sharing this with me. If you please, now we will ask you some questions to understand your situation.",strong
Do you feel in charge of others?,no
"I understand, thank you. And could you tell me whether the event you are referring to was quite recent, or further in the past?",strong
Do you think that you are a person who always blames and accuses itself for the problems that occur in life?,no
Have you felt any of these emotions toward a person who disappointed you or someone else?,weak
Thank you for telling me this. Now if you don't mind I would like to investigate this feeling a bit further.,strong
Have you had unstable emotions after attempting protocol 6?,no
Would your negative emotions be more manageable if you could take more control over the decisions of others?,weak
Do you think you are the one to blame when something goes wrong?,no
I'm happy to hear that! Might I recommend a protocol to emphasize how you're feeling?,strong
Would you say you have experienced or expressed any emotions when you handled the situation?,weak
Your feelings are valid and they matter. May you please unpack the situation in detail so I can be in your shoes a little better? ,strong
Have you considered other opinions?,no
Is there anything in your life that you feel is bringing you down more than usual right now? Any personal issues with family or friends?,weak
"I understand. Sometimes we blame people for how negative we feel, have you felt that way lately? Do you feel like someone has done something to make you feel this way?",strong
Is this due to something that happened in your life recently or long ago?,weak
Have you ever thought about other's people viewpoint in conversations?,no
"Do you think this is because something that recently happened to you, or something from the past?",weak
"In your current situation, was this caused by a specific event/s in any way?",weak
Have you used different points of view in your previous conversations in order to get a different perspective?,no
Did you try our protocol 6 to understand where this emotions come from ?,no
Do you find the time to consider others' viewpoints in your conversations?,no
I am actually sorry but are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,strong
In the past have you by any chance tried other ways that have been suggested?,weak
I see. Did something happen to cause this?,no
Have you recently tried protocol 6 and happened to revisit a traumatic memory from your past?,weak
Were your feelings caused by an event in recent times or past times?,no
Have you considered other view points presented in previous conversations?,no
Did something perhaps happen that caused this? ,no
Are you in the middle of a personal crisis (experiencing difficulties with loved 0nes e.g. falling out with friends)?,weak
Have you tried to understand where the other person is coming from previously?,no
Do you feel that you are currently experiencing a crisis?,no
Do you attempt to understand other people's viewpoints?,no
Do you think you get used to wanting to save everyone?,no
"I appreciate your honesty. Now, do you believe that you should be the saviour of someone else?",weak
Thank for you talking to me about this. Have you tried talking to others for their viewpoints?,strong
Do you always blame or accuse yourself when bad things happen?,no
Was there a recent or distant event (or events) that prompted this?,no
Do you think you are the victim of the situation?,no
Do you always blame yourself when something goes wrong in your life?,no
Did this occur because of a recent or distant event? ,no
Do you honestly feel like you are trying to manipulate other people?,no
Have you experienced something of this nature before?,no
Are you having a problem in your life related to personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,weak
Are you going through some difficulties with your loved ones? ,no
Any of the following emotion have been present in the way you feel or express towards someone?,weak
Did you recently try protocol 6 and is it the reason for bringing up unmanageable emotions because of the old events?,weak
Do you feel like you were trying to control someone and how they feel?,weak
Do you sometimes feel that you want to control someone ?,no
"In previous conversations, did you listen to the views and opinions of others?",no
Were there any specific events that you can relate to that results in this?,no
I wonder if you are going through a hard time because of some personal crisis in a relationship. ,weak
"I understand your situation, and could you please tell me more about this?",strong
Have you attempted our protocol 6 suggestion and experienced any uncontrollable emotions as a result of past traumas?,weak
Do you believe that you should save someone else?,no
Do you feel the the responsibility of constantly helping another person in hopes of saving them from their situation?,weak
Your feelings are valid and they matter. May you please unpack the situation in detail so I can be in your shoes a little better? ,strong
Do you always blame or accuse yourself when something goes wrong?,no
"When you participated in prior conversations, would you consider other people's perspectives?",weak
"I dont want to be rude, but have you strongly felt or expressed any of the following emotions towards someone:",weak
"Have you experienced negative emotions toward someone, such as:",weak
Is this action due to a recent or distant event that occured?,no
have you attempted protocol 6 and did it open up old wounds that should have stayed locked away?,weak
Do you feel the constant need to be in control of a situation/person?,weak
Thank you for talking to me about this event. I will now ask you some questions to better understand what is going through your mind.,strong
Are you feeling like you are going through a personal crisis? ,no
Would you say you always feel of accusing and blaming yourself when something bad happens?,weak
Do you feel like you are always yourself when something bad happens to you?,no
Are you going through a bad personal moment in your life right now?,no
Do you think that you are a controlling type of person and trying to influence someone's action?,weak
Do you feel lost right now? Hurt by personal conflict with the people you care about?,weak
Is this a result of an especific event/s?,no
Have you recently felt  that someone put you down or with negative feelings?,weak
"Looking at your recent past, could you say that you have always given others time to explain themselves and their point of view, and listened carefully and without judgement?",strong
Have you thought about different angles in previous conversations?,no
Do you feel that you that someone else has been the cause for how negative you feel? ,weak
Thank you for letting me know. Would you mind of we ask some questions to understand your situation?,strong
"Thanks for opening up. Would you like to answer some questions, so that I can get a better view on your emotions right now?",strong
Have you tried to see trough other viewpoints?,no
Has it ever happened that you showed or deeply felt one or more of these emotions about someone,no
I appreciate you for sharing this information with me. May I have permission to query about the events that occurred? ,strong
I am sorry about that. Would you like to tell me more about what happened?,strong
Thank you for letting me know. Now I have some questions for you to better understand your situation.,weak
Are you going through something difficult in your personal life?,no
"It's normal to feel a variety of emotions, both positive and negative, and express them towards others. Have you strongly felt or expressed any of the following towards someone?",strong
Have you tried looking at things from another perspective? ,no
Was there anything in particular that made you feel the way you do?,weak
Do you think you are reaching breaking point in your personal life?,no
I am sorry for asking but do you believe that you should be the saviour of someone else?,weak
"Thats good to know, now can we talk more about the situation?",weak
Do you always blame or accuse yourself when something goes wrong in your life? ,no
Have you considered the viewpoints of others in conversations? ,no
"Thanks for telling me, I have to ask you some questions to gain information about your situation .",weak
"Thank you for sharing that, it must be difficult for you. I wondered if I could ask a few questions to explore this further?",strong
I do understand where you are coming from but was this caused by a specific event or events?,strong
Have you set about analyzing different points of view regarding the situation?,no
Would you like to shareif there are any personal troubles that you are experiencing?,no
Are you experiencing a personal crisis? ,no
Have you felt that you are trying to control someone?,weak
"I'm sorry to hear that, let me try to help. ",weak
Your response makes it easier for me to understand what youâ€™re going through. Thank you for telling me.,strong
Do you constantly feel you are not getting the support you need to achieve certain things?,weak
Have you ever felt that you are a victim and blamed someone else for this negative feeling?,weak
Do you feel that you are trying to influence someone with your words or actions?,weak
Do you think that there is someone who needs your help and only you are able to help this person?,no
"Do you regard yourself as the victim, blaming others for your dismal mood?",weak
Have you taken into consideration other's points of view in the past?,no
Would you say you have experienced or expressed any emotions when you handled the situation?,weak
In your opinion do you consider yourself to be a saviour for other people?,no
Do you always blame or accuse yourself when bad things happen?,no
Have you ever felt this?,no
have you at some point projected these emotions towards someone else?,no
"Thank you so much for sharing that with me, I'm just going to ask a few questions so I know how best to advise you.",strong
Have you recently felt or experienced these emotions? ,no
Have you tried protocol 6 and realized that it would make you feel some uncontrollable emotions as a result of past events?,weak
Do you feel the need to have control over someone?,no
Did this happen to you: you always blame and accuse yourself when something is going wrong?,no
Do you feel like you have to save some person?,no
Have you taken up Protocol 6 recently and felt the rush of negative emotions that were with you from a past event?,weak
Do you always blame yourself for things going wrong?,no
Let's see. Was this caused by a specific event?,no
Did something bad recently happen that could have triggered you?,weak
"In previous conversations, have you gone through other viewpoints?",no
Have you strongly felt or expressed any of the following emotions?,no
Do you blame yourself or anyone else for how you feel ?,no
Do you have feelings of self-pity or negativity in general and try to blame other people for how bad it feels?,strong
It's really nice to hear. You deserve all the best. Would you like to try any of the protocols I'm about to list?,strong
Do you recall feeling or showing any of the following emotions towards anyone?,no
Have you ever imagined you are the saviour of someone else?,no
"In past interactions, did you consider any other opinions presented?",no
Have you tried protocol 6 and maybe been reliving triggering emotions as a result of a past event?,weak
Do you always tend to be hard on yourself? For example blaming yourself and seeing yourself in a negative way?,weak
Do you think how you're feeling is the result of a specific incident/s either recent or distant?,weak
Was this caused by a recent or distant situation?,no
Your response makes it easier for me to understand what youâ€™re going through. Thank you for telling me.,strong
I would like to know if you are experiencing any challenges in your personal life at the moment?,weak
"Have you felt any strong, negative feelings towards someone recently?",weak
Are you a victim and blaming someone for this feeling?,no
Do you believe that you can save someone else here?,no
"Past experiences can be overwhelming, are any negative emotions linked to you attempting Protocol 6, if you attempted it? ",strong
Do you have any of these emotions for someone else:,no
Are you currently in a crisis? A crisis can be e.g. difficulties within close relationships,no
Is the way you feel someone else's fault?,no
Was the event that led to this recent or distant?,no
"Do you feel like you're undergoing a personal crisis, like falling out with friends or having problems with your loved ones?",weak
Does it feel like there is someone who is responsible for all of these negative emotions?,no
Do you believe that you should put more effort to save someone else?,no
Is this because of a particular event?,no
Have you strongly felt or expressed any of the following emotions towards someone?,no
"All right, thank you very much for letting me know how you feel. We can work together to get this situation better.",strong
Have you tried protocol 6 recently and discovered that it reignited uncontrollable emotions as a result of past events?,weak
Do you always end up  blaming yourself or wanting to take the blame when things go wrong around you?,weak
Do you personally feel like there was a particular reason for what has happened?,no
Have you recently felt or experienced these emotions? ,no
Do you perhaps feel that you are trying to control someone because of what happened to you?,weak
"Do you always assume responsibility, especially when things don't go as expected?",weak
Do you look at all outlooks when dealing with people?,no
Do you see yourself as someone who is meant to save others?,no
Was a particular thing the trigger point of your suffering that caused us to meet here today?,weak
That is a valid way to feel. Do you mind if we ask some questions to better understand your situation?,strong
"Thank you for letting me know. Now, I will ask some questions in order to better understand your situation.",weak
Was your mood caused by something more recent or distant?,no
Are you going through a personal crisis for example experiencing difficulties with loved ones(fallout between you and your friends)?,weak
Do you find yourself always shifting the blame towards yourself for every bad thing that happens to you?,weak
Do you believe that you can save someone for any given reason?,no
Is it up to you to be somebody's saviour before thinking of yourself?,no
"How do you feel about saving others, does it affect your mood positively?",weak
Would you say any of these emotions describe what you have been feeling lately?,weak
Was this feeling caused by specific event/s? ,no
"Thank you for sharing, now I will ask about some questions to understand your situtaion ",strong
Do you always feel like its your fault when something goes wrong?,no
I am here for you. I will ask some questions to understand your situation.,weak
Do you imaging being savior of someone?,no
Would you say any of these emotions describe what you have been feeling lately?,weak
Do you believe that any feelings you strongly felt or expressed to someone could be compared to the following?,weak
Would someone else be able to put you in a position where you are a victim and they are responsible for how you feel?,weak
Is there anything happening in your life currently that you feel should be happening differently?,weak
"Now, to make sure my recommendations are tailored to your needs, could you please tell me if you have already tried Protocol 6, but found it too hard due to past negative emotions and could not continue?",strong
Are you feeling like this because something specific happened?,no
Was this event recent or distant?,no
"I understand that's how you feel, I would like to ask you a few questions to get a better understanding of your situation.",strong
So great to hear this! I will look into some protocols that can enchance this feeling for you.,strong
Are you feeling this way due to a specific event/s?,no
Do you think that you're trying to control someone?,no
Have you ever outwardly expressed any of these emotions to or about someone?,no
I totally understand you. Are you feeling like this due to a specific event?,strong
"Do you feel the need actively support or ""rescue"" another person?",weak
Lovely to hear! Let me suggest a protocol which will keep that nice feeling.,strong
"Are you in a difficult point in your life, for example in a crisis with your close ones?",weak
"From previous conversations, have you considered other perspectives?",no
I understand the situation you going through. I will ask some more questions to understand your situation better.,weak
"Thank you for sharing, this is brave of you. In order to best help you, we will further ask you some questions.",strong
Do you find yourself blaming and accusing yourself when something goes wrong ?,no
Do you feel that other people's side of the story matters?,weak
Are your emotions currently used as a way to control someone else?,no
Do you feel that you have to control someone?,no
Have you considered other points of view in previous conversations?,no
Have you ever felt as if you are controlling?,no
Have you recently attempted protocol 6 and found that this has triggered overwhelming emotions stemming from an old event?,weak
"Thank you for your openness, I really appreciate it and I can understand it may be difficult, but would you mind answering a few questions to help me better understand your situation.",strong
"Do you think there is someone responsible for the negative emotions that you are feeling, thus making you the victim?",weak
Do you think of yourself as a person who blames others for your own problems?,no
Do you imagine yourself blaimg somebody else for your emotions?,no
Do you find yourself always shifting the blame towards yourself for every bad thing that happens to you?,weak
"I understand, let ask you some more questions to get a better idea of the situatiion.",weak
"Do you feel that you're the victim here, and that someone else is to blame for how you feel?",weak
That's ok. I need to ask some questions to understand what's really going on.,weak
"Recently, have you tried using protocol 6 and found out this brought back feelings that were difficult to manage ?",weak
Do you feel like you are trying to control other people?,no
Do you blame someone because of what you feel?,no
Did something happen to make you feel this way?,no
Have you done Protocol 6 and did it make you think about traumatic events that have happened to you in the past which might have led to you feeling this way?,weak
Do you always feel bad when things go wrong?,no
Do you feel this way because of something that happened recently or in the past?,weak
Do you think you need to be the one supporting an individual? Is it your responsibility to save them?,no
Was this caused by a recent event or perhaps distant one (or more)?,weak
Do you recall feeling or showing any of the following emotions towards anyone?,no
Hav you tried protocol 6 that could make you relive the emotions due to past events?,weak
Are you always trying to help other people out of their situations?,no
Have you ever felt these feelings towards someone else for what they have?,no
Did you try protocol 6 recently and did it cause you negative feelings?,no
Do you think that someone else should see you as their saviour?,no
Do you constantly feel you need to control people? ,no
Did something recent or distant happen? ,no
Is it related to something that happend recently or more in the past?,weak
Could you identify with the role of victim in your situation?,weak
Have you tried protocol 6 and had your valid emotions rear they're ugly head back?,weak
"I understand what you feel like, but was this due to recent or distant event?",weak
Have you felt the above emotions or expressed them towards someone?,no
Why do you think you are in this situation? Do you think it's someone else's fault?,no
Thank you for letting me know. Sorry for saying that but now we will ask some questions to understand your situation.,strong
I understand. Was the feeling caused by a specific event?,weak
"Thinking of the power relations in your life and the situations that have led to this feeling today, would you describe yourself as the victim?",strong
Thank you for sharing. Can I ask more about it?,weak
Did you perhaps attempt protocol 6 and found this reignited unmanageable emotions as a result of past events?,weak
Thanks! Are you always blaming and accusing yourself for when something goes wrong?,no
Is there any chance that you tried protocol 6 and it brought back emotions that you could not deal with due to a past event?,weak
I would like to know if this happened recently or in the past?,weak
Have you tried working through protocol 6 and did you get some negative feelings from that?,weak
Thank you for trusting me. Few questions will be asked to get clarity.,weak
Have you tried to attempt protocol 6 to establish whether this was caused by unmanageable emotions as a result of old events?,weak
When something goes wrong do you always put the blame and accusing on yourself?,no
"Because of what happpened, which is uderstandable, are you always blaming and accusing yourself for when something goes wrong?",no
In the past have you by any chance tried other ways that have been suggested?,weak
"Do you always feel that you are to blame for any problem, whether it was actually your fault or not?",no
Are you the first person you blame when something bad happens ?,no
Do you think you are going through some kind of a personal crisis?,no
Do you find yourself manipulative?,no
Is anything going on in your personal life which has caused you distress? ,weak
Do you always blame yourself when something unexpected happens? ,no
Do you have a feeling that you are trying to control someone?,no
Do you think you need to save others?,no
I am sorry to hear that and I understand how you feel. Please answer the following question so I can understand your current situation better.,strong
Are you passing through a personal crisis?,no
Do you always feel the need to blame yourself when things do not go as planned?,no
"Do you often feel obligated to help, or even save, others, even when this damages you personally?",weak
Was this something that happened recently?,no
Have you in the past taught about others' perspectives?,no
Are you having any thoughts of feeling like you are manipulating someone?,no
I know that protocol 6 may cause you to relive upsetting emotions. Is how you're feeling because you recently attempted protocol 6?,strong
"In previous conversations, have you tended to consider other people's viewpoints?",weak
Do you personally feel like there was a particular reason for what has happened?,no
Do you believe you can save someone else?,no
Do you always take accountability and responsibility for things that may not always go the way you or people around you expect?,weak
Do you always blame and accuse yourself whenever something goes wrong? ,no
Do you exerience a feeling of control over someone?,no
That's amazing! I'll suggest a protocol that can make you feel even better.,strong
"Do you always accuse and blame yourself for things that don't turn out as they should, regardless of whether the responsibility is really yours?",weak
Do you always find yourself to be the cause of your problems?,no
Do you think maybe what is eating in your life is all your fault?,no
Was this situation triggered by a certain event?,no
Have you tried protocol 6 and found that it made you feel overwhelmed by emotions?,weak
I wonder if this was caused by a recent event?,weak
"In the past, have you taken into consideration other views or opinions that were presented to you?",weak
Is it an event/s that happened more recently or distantly?,weak
"Let me try to understand you further. Do you sometimes see yourself as victim, blaming someone for how you feel?",strong
Thank you for sharing your feelings with me. Now we will ask some questions to better help us understand what your situation is.,strong
I wonder if you have recently experienced any of the these strong negative emotions toward someone you know. ,weak
Are you trying to be the saviour of other people?,no
Have you recently tried protocol 6 and found this reignited unmanageable emotions as a result of old events?,weak
Pleas let me know if this was caused because of an event?,weak
"That is sad to hear. Have you perhaps used protocol 6 recently, and if so do you feel it was helpful in terms of guiding you to manage emotions caused by past events?",strong
"Is the disappointment you're feeling because of something recent, or from longer ago?",weak
"In other chats, have you ever taken into consideration points presented to you?",no
Do you feel like you always have to help and save other people?,no
Are you currently feeling like the victim of a situation?,no
Was the reason behind this feeling recent or distant?,no
Have you ever felt that people want to hurt you and therefore have negative feelings towards them?,weak
Do you feel that you are the saviour of someone else?,no
"Do you usually try to look into other points of view, when talking to someone?",no
"I am sorry about that, we all make mistakes. Let me ask some more questions.",strong
I understand. Have you strongly felt or expressed any of the following emotions towards someone:,weak
"By any chance, have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?",weak
Do you sometimetimes feel like you should be the saviour of someone else?,no
"The event in question, was it recent or distant?",no
"I understand, let me ask you some more questions to get a better picture of the situation.",weak
When something goes wrong do you feel that it's always your fault?,no
Have you ever considered other viewpoints ?,no
Have you tried protocol 6 and had your valid emotions rear they're ugly head back?,weak
Do you always blame yourself and treat yourself negatively when something goes wrong?,no
Have you examined various points of view in past discussions?,no
Do you feel like you try and control people?,no
Is there a part of you where you feel like you are trying to control someone?,no
Do you blame someone for how you feel?,no
We appreciate the time taken to provide us with information about how you are feeling. We will like to continue by asking more questions to understand in depth about the cause of the feelings. ,strong
IS this feeling something recent or has it been a while?,no
Do you feel your outlook is balanced on different viewpoints?,weak
"Based on your previous conversations, do you have the chance to have a look at other viewpoints?",weak
"On reflection, do you perhaps think that you are controlling or just emotional?",strong
Was this caused by something specific that happened?,no
"Do you feel like everyone's needs should always come before yours, even when you are really overextending yourself to help?",weak
Thank you for your honest answer! Can you explain it better to me?,strong
Do you always see yourself as at fault for the bad things that happen in your life?,no
Do you always blame or accuse yourself?,no
Are you always not giving yourself a bit of grace for when something goes wrong?,no
Do you feel that it was because of a recent or distant event?,no
When things go wrong do you blame yourself for that?,no
Is there any personal crisis you are currently facing ?,no
Would you say the event was recent or distant?,no
Are you the person that can save someone in this situation?,no
Have you tried protocol 6 and noticed that it brought some bad feelings as a result of past events?,weak
Thank you for sharing with me. Please elaborate more on what led you to feeling this way?,strong
Do you see yourself as a controlling person?,no
Do you find yourself victimised?,no
Do you think you can help someone?,no
Have you felt that you are trying to control someone?,weak
"Do you believe that you could describe yourself as the victim, and believe that someone else is to blame for your emotions?",weak
"Could it be that you see yourself as the victim here, and you are blaming someone for making you feel this way?",weak
Have you felt some of the following emotions?,no
"When you have had any other conversation, have you considered others' viewpoints?",no
Do you think how you feel is as a result of someone else's doing?,weak
As you were participating in previous chats have you thought about different viewpoints?,weak
"Thanks, I understand your frustration. May I ask a few more questions for context?",strong
Are you experiencing challenging times in your personal life currently?,no
Did you perhaps attempt protocol 6 and found this reignited unmanageable emotions as a result of past events?,weak
Do you think you should be the savior of others?,no
Is this action due to a recent or distant event that occured?,no
Do you feel the need to save someone?,no
Thanks for sharing your feelings with me. I will ask you some questions to help you with your feelings. ,strong
When speaking with others do you try and see things from their perspective? ,no
Do you constantly feel you are not getting the support you need to achieve certain things?,weak
Did something specific happen? ,no
Have you ever experienced any of the following towards another person:,no
"I know this can bring up painful memories, but have you recently tried protocol 6 and found it led to resurfacing of old events that caused unmanageable emotions?",strong
Have you tried Protocol 6 recently and found that emotions you can't control have flared up again from old events?,weak
Did this happen in recent times or in the past?,no
Do you feel you have been mistreated and as a result felt the negative emotion you have experienced?,weak
Are you able to pin point a specific event around you that made you feel this way?,no
Have you expressed these strong emotions to anyone?,no
Let's see. Was this caused by a specific event?,no
Is there a need for you to be someone else's saviour?,no
Would you think you are the saviour for someone?,no
Do you mind telling me more about the incident?,weak
Would you say any of these emotions describe what you have been feeling lately?,weak
Have you ever blamed someone else for negative feelings by playing the victim?,weak
Have you strongly felt the following towards someone?,no
Is there a recent or distant event that caused you to feel this way? ,no
Did you express or strongly felt any of these following emotions towards any person?,no
"I know its not my business and I am sorry, but have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?",strong
Was this by any chance caused by a recent or distant event (or events)?,no
Can you recall attempting Protocol 6 and a specific unmanageable scenario reigniting that has a relation with this? ,weak
Do you always feel like it's your fault whenever something bad happens?,no
"Thank you for being so open with me, was this particular event a recent occurrence? Or a more distant one?",strong
Do you feel this way because of something that happened recently or in the past?,weak
Have you considered other view points presented in previous conversations?,no
"That is understandable, would you like to discuss it?",weak
Do you feel as if you are trying to manipulate someone's thoughts?,weak
Do you think you are always to blame for things not going right? ,no
Have you ever felt that you are trying to control someone?,no
Have you ever felt any of the following emotions towards someone?,no
Do you believe someone else is to blame for the way you feel?,no
"In previous conversations, do you try to see other perspectives? ",no
Do you always beat yourself up when things go wrong?,no
"Do you see yourself as the victim, that your negative feelings have been caused by someone else, that they are to blame for how you currently feel?",weak
Did a specific event trigger this?,no
have you attempted protocol 6 and did it open up old wounds that should have stayed locked away?,weak
Are you going through a personal crisis?,no
Do you feel the need to help someone else?,no
Is this something that has just happened recently or not?,no
Is there something that has happened that might be the cause of this issue?,weak
Have this happened to you - that you are trying to control someone else?,weak
Do you perhaps feel like you can help someone?,no
I'm not here to judge if you have felt any of these emotions towards someone recently.,no
"Attempting Protocol 6 can help manage emotions, have you tried it? If you did, did it bring up any unmanageable past emotions that you could not handle?",strong
Was this caused by something specific?,no
"Is it possible that this period in your life has been particularly tough, and you've been faced with unprecedented difficulties in your family or social circle?",strong
Do you always believe that someone is out to get you and do you always hold other people responsible for how you feel?,weak
Have you recently attempted protocol 6 and found it reigniting unmanageable emotions resulting from old events? ,weak
Do you feel like you need to be in control of others?,no
And have you ever felt or maybe expressed any of the following emotions towards someone:,no
"Because of what happpened, which is uderstandable, are you always blaming and accusing yourself for when something goes wrong?",no
Was this caused by some recent or distant event?,no
Do you feel like you always want to be in control of a person?,no
Thanks for letting me know. Now I will ask some question to understand you better.,weak
Have you tried protocol 6 and did it reopen old wounds and negative emotions?,weak
"Thank you for opening up to me. I have some more in-depth questions to ask, if that is ok.",strong
Can I ask if you gave procotol 6 a try? Did it reignite some very bad emotions within you from the past?,weak
Do you think you are perhaps dealing with a personal crisis?,weak
Do you somehow feel that you are trying to control someone in your life?,weak
Did that happened recently or was it distant?,no
Are you undergoing with difficulties in your life (experiencing difficulties with loved ones e.g. falling out with friends)?,weak
"Are you currently undergoing a personal crisis, such as: struggles in your personal relationships (e.g. falling out with friends)? ",weak
"In previous conversations, have you found anything useful from others' viewpoints presented?",weak
Was there any specific event that made you feel that way?,no
Do you feel like it's your fault that things go wrong?,no
"Thank you for being willing to open up to me. I know this is difficult for you, but I would like to ask you a few more questions to better understand what emotions you are experiencing.",strong
Do you think a particular person is to blame for how you currently feel and reacted to that incident?,weak
"Are you going through a personal crisis currently, with a lover, friend or family?",no
Are you currently going through a personal crisis (difficulties with loved ones e.g. fighting with your boyfriend/girlfriend)?)? ,weak
"I know this may be a difficult time for you, have you felt or re-enacted any of these emotions towards anyone",strong
Does it have something to do with something specific that happened?,no
"Alright, thank so much. Have you considered other viewpoints presented?",weak
Did recent or distant events cause this?,no
"Do you feel compelled to help someone else, even at your own expense?",weak
"Are you going through a personal crisis currently, with a lover, friend or family?",no
"I'm sorry to hear that. I'd like to understand your situation a little more so that I can help you, for this I will ask you some questions.",strong
I am very happy for you. Here is a protocol that can make you feel even better.,weak
Have you recently tried protocol 6 and found this brought up emotions that were perhaps unmanageable as a result of old events?,strong
Have you strongly felt or expressed any of these deep feelings towards someone?,no
Doesn't this happen because maybe you are undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,weak
Do you always blame yourself?,no
"Would you say that some of those personal crisis situation happen to you - difficulties with loved ones, falling out with friends?",weak
I'm so sorry you are feeling like this. Can I ask you for more details over what happened to make you feel that way?,strong
"Well done for answering, do you ever feel like you are having a crisis, in personal life .e.g relationships?",strong
Are you able to pin point a specific event around you that made you feel this way?,no
Do you think that you are obliged to help someone no matter what?,no
In what role do you see yourself in this situation? As a victim of someone else's wrongdoing?,weak
Do you always find yourself blaming yourself for your hardships?,no
"After your attempt of protocol 6, did you perhaps find that the protocol reignited emotions that you cannot manage as a result of an old event?",weak
Are you in the middle of a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,weak
"Looking at conversations that you have had in the past, do you consider different perspectives?",no
Do you remember the other viewpoints discussed and are you open to their consideration?,no
Have you tried to see things from a different perspective? ,no
Do you think what happened was recent or in the past?,no
"Thank you! I understand your situation, and could you please tell me more about this?",strong
Do you ever feel like you have to save or rescue another person?,no
Is it reasonable to place blame on someone else for how you are feeling right now?,weak
Would you please say whether this was the consequence of a specific event or a series of events?,weak
"Do you have any other personal issues that you are facing, like not getting along with friends and family?",weak
Do you feel you should save someone?,no
Was there a specific event or events that led to this?,no
Do you feel that by your actions or emotional responses you are trying to control someone else?,weak
Do you think your disappointment was caused by a specific event?,no
I understand. And was this feeling cause by something specific?,weak
Do you blame someone else for the negative emotions you are feeling? Do you see yourself as the victim in this situation?,no
Does it feel like there is someone who is responsible for all of these negative emotions?,no
Are you having difficulties in your personal life due to recent events (falling out with friends e.g.)?,weak
Have you ever strongly felt any of the following emotions towards another person?,no
I wonder if you could tell me if the event was recent or distant?,weak
May I know is this caused by something specific?,no
Have you recently attempted protocol 6 and found that it triggered extremely stressful emotions from a past event?,weak
Do you believe that it is your responsibility to be someone else's savior?,weak
Are you going through rough incidences and changes (e.g. losing someone you love)?,weak
Have you recently attempted Protocol 6 and found that you still had unmanageable emotions that stem from past events?,weak
I know it is a private matter but have you strongly felt or expressed any of the following emotions towards someone:,weak
Have you ever felt towards someone like:,no
Was this caused by something in particular?,no
Did a specific event trigger these feelings?,no
And do you think that you trying to control someone?,no
You think that you must be the savior of the people around you?,no
Would you consider how you're feeling as going through a personal crisis?,weak
"Is there a specific life crisis that you are going through (for example, in your relationships with your close ones)? ",weak
Is what you are experiencing related to your social or family circle?,no
"Did you start feeling this way recently, or did thinking of something from long ago trigger it?",weak
May I ask if this was caused by a recent or distant event?,weak
Are you blaming yourself for something that went wrong?,no
could that be a recent or distant event/s?,no
"Could this feeling of insecurity that you are experiencing right now also be accompanied by a feeling of having been victimised by someone else? In other words, do you feel that someone is to blame for the way you are feeling?",strong
Is it always your fault when things go wrong?,no
Do you always find yourself thinking there's something you must have done wrong when things do not work out as hoped?,weak
Do you think life is unfair and you are the victim?,no
"This negative event that you experienced, was it recent or in the distant past?",no
Are you always trying to help other people out of their situations?,no
"Was it something that happened recently, or was it something that happened some time ago?",no
Have you tried our considerations in Protocol 6 and found that this experience made you feel unmanageable emotions brought to you by old events?,weak
Do you feel as if your personal life is falling apart? ,weak
"Lets dissect the feeling, have you experienced any of the following emotions recently?",no
